,season_end_year,team,position,played,won,drawn,lost,gd,points
1,1993,Manchester Utd,1,42,24,12,6,36,84
2,1993,Aston Villa,2,42,21,11,10,17,74
3,1993,Norwich,3,42,21,9,12,-4,72
4,1993,Blackburn,4,42,20,11,11,22,71
5,1993,QPR,5,42,17,12,13,8,63
6,1993,Liverpool,6,42,16,11,15,7,59
7,1993,Sheffield Weds,7,42,15,14,13,4,59
8,1993,Tottenham,8,42,16,11,15,-6,59
9,1993,Manchester City,9,42,15,12,15,5,57
10,1993,Arsenal,10,42,15,11,16,2,56
11,1993,Chelsea,11,42,14,14,14,-3,56
12,1993,Wimbledon,12,42,14,12,16,1,54
13,1993,Everton,13,42,15,8,19,-2,53
14,1993,Sheffield United,14,42,14,10,18,1,52
15,1993,Coventry,15,42,13,13,16,-5,52
16,1993,Ipswich,16,42,12,16,14,-5,52
17,1993,Leeds United,17,42,12,15,15,-5,51
18,1993,Southampton,18,42,13,11,18,-7,50
19,1993,Oldham Athletic,19,42,13,10,19,-11,49
20,1993,Crystal Palace,20,42,11,16,15,-13,49
21,1993,Middlesbrough,21,42,11,11,20,-21,44
22,1993,Nottingham Forest,22,42,10,10,22,-21,40
23,1994,Manchester Utd,1,42,27,11,4,42,92
24,1994,Blackburn,2,42,25,9,8,27,84
25,1994,Newcastle Utd,3,42,23,8,11,41,77
26,1994,Arsenal,4,42,18,17,7,25,71
27,1994,Leeds United,5,42,18,16,8,26,70
28,1994,Wimbledon,6,42,18,11,13,3,65
29,1994,Sheffield Weds,7,42,16,16,10,22,64
30,1994,Liverpool,8,42,17,9,16,4,60
31,1994,QPR,9,42,16,12,14,1,60
32,1994,Aston Villa,10,42,15,12,15,-4,57
33,1994,Coventry,11,42,14,14,14,-2,56
34,1994,Norwich,12,42,12,17,13,4,53
35,1994,West Ham,13,42,13,13,16,-11,52
36,1994,Chelsea,14,42,13,12,17,-4,51
37,1994,Tottenham,15,42,11,12,19,-5,45
38,1994,Manchester City,16,42,9,18,15,-11,45
39,1994,Everton,17,42,12,8,22,-21,44
40,1994,Southampton,18,42,12,7,23,-17,43
41,1994,Ipswich,19,42,9,16,17,-23,43
42,1994,Sheffield United,20,42,8,18,16,-18,42
43,1994,Oldham Athletic,21,42,9,13,20,-26,40
44,1994,Swindon Town,22,42,5,15,22,-53,30
45,1995,Blackburn,1,42,27,8,7,41,89
46,1995,Manchester Utd,2,42,26,10,6,48,88
47,1995,Nottingham Forest,3,42,22,11,9,29,77
48,1995,Liverpool,4,42,21,11,10,28,74
49,1995,Leeds United,5,42,20,13,9,21,73
50,1995,Newcastle Utd,6,42,20,12,10,20,72
51,1995,Tottenham,7,42,16,14,12,8,62
52,1995,QPR,8,42,17,9,16,2,60
53,1995,Wimbledon,9,42,15,11,16,-17,56
54,1995,Southampton,10,42,12,18,12,-2,54
55,1995,Chelsea,11,42,13,15,14,-5,54
56,1995,Arsenal,12,42,13,12,17,4,51
57,1995,Sheffield Weds,13,42,13,12,17,-8,51
58,1995,West Ham,14,42,13,11,18,-4,50
59,1995,Everton,15,42,11,17,14,-7,50
60,1995,Coventry,16,42,12,14,16,-18,50
61,1995,Manchester City,17,42,12,13,17,-11,49
62,1995,Aston Villa,18,42,11,15,16,-5,48
63,1995,Crystal Palace,19,42,11,12,19,-15,45
64,1995,Norwich,20,42,10,13,19,-17,43
65,1995,Leicester,21,42,6,11,25,-35,29
66,1995,Ipswich,22,42,7,6,29,-57,27
67,1996,Manchester Utd,1,38,25,7,6,38,82
68,1996,Newcastle Utd,2,38,24,6,8,29,78
69,1996,Liverpool,3,38,20,11,7,36,71
